id,brand
AA,ACURA
AO,ALFA ROMEO
AI,AUDI
BC,BAIC
BW,BMW
BU,BUICK
CD,CADILLAC
CH,CHEVROLET
CR,CHRYSLER
DG,DODGE
FT,FIAT
FD,FORD
GC,GMC
HA,HONDA
HI,HYUNDAI
JC,JAC
JR,JAGUAR
JE,JEEP
KA,KIA
LR,LAND ROVER
LI,LINCOLN
MA,MAZDA
MZ,MERCEDES BENZ
MN,MINI
MI,MITSUBISHI
NN,NISSAN
PT,PEUGEOT
PE,PORSCHE
RT,RENAULT
ST,SEAT
SU,SUBARU
SI,SUZUKI
TA,TOYOTA
VW,VOLKSWAGEN
VO,VOLVO
